iter	Passed	Remaining
0	0	79
1	1	72
2	2	68
3	2	63
4	3	62
5	3	61
6	4	61
7	5	61
8	6	62
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	54
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	48
25	16	48
26	17	47
27	18	47
28	19	46
29	19	45
30	20	45
31	21	44
32	21	44
33	22	43
34	22	42
35	23	42
36	24	41
37	25	40
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	64	1
98	65	0
99	65	0
