iter	Passed	Remaining
0	0	767
1	2	1020
2	2	893
3	3	846
4	4	837
5	5	870
6	6	851
7	6	824
8	7	801
9	7	787
10	8	770
11	9	754
12	9	758
13	11	776
14	11	773
15	12	757
16	12	747
17	13	734
18	14	724
19	14	714
20	15	705
21	16	717
22	16	711
23	17	709
24	18	706
25	18	706
26	19	705
27	20	700
28	20	698
29	21	694
30	22	690
31	22	684
32	23	681
33	24	688
34	25	709
35	26	720
36	27	718
37	28	713
38	28	708
39	29	703
40	29	699
41	30	694
42	31	693
43	31	690
44	32	689
45	33	691
46	34	691
47	34	689
48	35	687
49	36	685
50	36	682
51	37	680
52	37	677
53	38	674
54	39	672
55	40	675
56	41	683
57	42	688
58	43	691
59	43	687
60	44	683
61	45	683
62	45	683
63	46	681
64	47	681
65	47	679
66	48	678
67	49	677
68	50	676
69	50	674
70	51	673
71	52	673
72	52	671
73	54	683
74	55	684
75	56	686
76	57	683
77	57	680
78	58	678
79	58	675
80	59	672
81	59	669
82	60	664
83	61	666
84	61	664
85	62	664
86	63	662
87	63	661
88	64	659
89	65	657
90	65	655
91	66	654
92	66	652
93	67	650
94	69	665
95	71	670
96	72	673
97	73	672
98	73	669
99	74	666
100	74	663
101	75	660
102	75	660
103	76	659
104	77	658
105	78	658
106	78	658
107	79	656
108	80	654
109	80	652
110	81	650
111	81	648
112	82	646
113	82	644
114	85	658
115	86	660
116	87	656
117	87	654
118	88	651
119	88	649
120	89	646
121	89	643
122	89	640
123	90	642
124	91	640
125	92	638
126	92	637
127	93	635
128	94	635
129	94	634
130	95	632
131	95	631
132	96	629
133	97	627
134	97	626
135	98	624
136	98	623
137	100	629
138	102	635
139	103	635
140	104	633
141	104	630
142	104	629
143	106	634
144	107	635
145	108	635
146	109	634
147	109	632
148	110	630
149	111	629
150	111	628
151	112	627
152	113	627
153	113	625
154	114	623
155	114	622
156	115	622
157	117	624
158	118	624
159	118	622
160	119	622
161	119	620
162	120	619
163	121	620
164	122	619
165	123	618
166	123	617
167	124	617
168	125	616
169	126	615
170	126	614
171	127	612
172	127	611
173	128	610
174	130	613
175	130	613
176	131	612
177	132	610
178	132	608
179	133	606
180	133	604
181	134	602
182	134	601
183	135	599
184	136	601
185	137	599
186	138	600
187	138	599
188	139	599
189	140	597
190	140	596
191	141	595
192	142	593
193	142	592
194	143	592
195	144	594
196	146	595
197	146	594
198	147	592
199	147	591
200	148	589
201	148	587
202	149	587
203	151	592
204	152	591
205	153	590
206	153	588
207	154	588
208	155	586
209	155	585
210	156	584
211	157	583
212	157	582
213	158	581
214	158	579
215	159	578
216	160	578
217	161	579
218	162	579
219	163	578
220	163	577
221	164	575
222	164	574
223	165	572
224	165	570
225	167	572
226	167	571
227	168	571
228	170	573
229	171	573
230	171	572
231	172	570
232	173	569
233	173	568
234	174	567
235	174	566
236	175	565
237	176	564
238	177	565
239	178	566
240	179	565
241	180	563
242	180	563
243	182	566
244	183	565
245	183	563
246	184	562
247	185	561
248	185	560
249	186	560
250	188	561
251	188	560
252	189	558
253	189	557
254	190	555
255	190	554
256	191	553
257	192	552
258	192	551
259	193	551
260	194	551
261	195	550
262	196	549
263	197	549
264	197	548
265	198	548
266	199	548
267	200	548
268	201	548
269	202	547
270	203	546
271	203	545
272	204	544
273	205	544
274	209	552
275	210	551
276	211	551
277	212	550
278	212	549
279	213	548
280	214	549
281	215	548
282	216	547
283	216	546
284	217	545
285	217	543
286	218	543
287	219	543
288	220	542
289	221	541
290	222	541
291	223	541
292	223	540
293	225	540
294	226	540
295	226	539
296	227	538
297	228	537
298	229	537
299	229	535
300	230	534
301	230	533
302	231	532
303	232	531
304	233	531
305	234	532
306	236	533
307	236	532
308	237	531
309	238	531
310	239	529
311	239	528
312	240	527
313	240	525
314	241	525
315	242	524
316	243	524
317	244	524
318	245	523
319	245	522
320	246	521
321	247	520
322	248	521
323	249	520
324	250	519
325	250	518
326	251	516
327	251	515
328	252	514
329	252	512
330	253	511
331	253	510
332	254	508
333	254	507
334	254	506
335	255	505
336	256	504
337	257	503
338	258	504
339	259	503
340	260	502
341	260	501
342	261	500
343	262	500
344	264	503
345	265	502
346	266	500
347	266	499
348	267	498
349	267	497
350	268	496
351	268	495
352	269	493
353	269	492
354	270	491
355	271	490
356	272	490
357	272	489
358	273	488
359	274	487
360	274	486
361	275	485
362	275	484
363	276	483
364	278	485
365	279	484
366	280	483
367	280	481
368	281	480
369	281	479
370	281	478
371	282	476
372	282	475
373	283	474
374	283	473
375	284	471
376	284	470
377	285	469
378	285	468
379	286	468
380	287	467
381	288	466
382	288	465
383	289	464
384	290	463
385	290	462
386	291	461
387	292	460
388	292	459
389	293	458
390	293	457
391	294	456
392	294	454
393	295	453
394	295	452
395	296	451
396	296	450
397	296	449
398	297	447
399	297	446
400	298	445
401	298	444
402	299	443
403	299	442
404	300	441
405	301	441
406	302	441
407	303	440
408	304	439
409	304	438
410	305	437
411	305	436
412	306	435
413	307	434
414	308	435
415	309	434
416	309	433
417	310	432
418	310	431
419	311	429
420	311	428
421	312	427
422	312	426
423	313	425
424	313	424
425	314	423
426	314	422
427	315	421
428	315	420
429	316	420
430	317	419
431	318	418
432	319	417
433	319	417
434	320	416
435	321	415
436	321	414
437	322	413
438	323	413
439	324	413
440	325	412
441	325	410
442	326	409
443	326	408
444	327	407
445	327	406
446	327	405
447	328	404
448	328	403
449	329	402
450	329	401
451	330	400
452	330	399
453	332	399
454	333	399
455	333	398
456	334	397
457	335	396
458	335	395
459	336	395
460	337	394
461	339	395
462	340	395
463	341	394
464	341	393
465	342	392
466	342	391
467	343	390
468	343	389
469	344	388
470	344	387
471	345	386
472	345	385
473	346	384
474	347	384
475	348	383
476	348	382
477	349	381
478	350	381
479	350	380
480	351	379
481	352	378
482	353	378
483	354	377
484	354	376
485	355	375
486	355	374
487	356	373
488	356	372
489	357	371
490	357	370
491	358	369
492	358	368
493	359	367
494	359	366
495	360	365
496	360	364
497	360	363
498	361	363
499	362	362
500	363	362
501	364	361
502	365	360
503	365	359
504	366	358
505	366	358
506	367	357
507	368	356
508	369	356
509	370	355
510	370	354
511	371	353
512	371	352
513	371	351
514	372	350
515	372	349
516	373	348
517	373	347
518	374	346
519	374	346
520	375	345
521	375	344
522	376	343
523	377	342
524	378	342
525	378	341
526	379	340
527	380	339
528	380	339
529	381	338
530	382	337
531	383	337
532	384	336
533	384	335
534	385	334
535	385	333
536	386	332
537	386	332
538	387	331
539	387	330
540	388	329
541	388	328
542	389	327
543	389	326
544	389	325
545	390	324
546	391	324
547	392	323
548	393	323
549	394	322
550	395	321
551	395	321
552	396	320
553	396	319
554	397	318
555	398	318
556	399	317
557	400	316
558	400	316
559	401	315
560	401	314
561	402	313
562	403	312
563	403	311
564	404	311
565	404	310
566	405	309
567	405	308
568	407	308
569	407	307
570	408	307
571	409	306
572	410	305
573	410	304
574	411	304
575	413	304
576	414	303
577	414	302
578	415	301
579	415	300
580	416	300
581	416	299
582	417	298
583	417	297
584	418	296
585	418	295
586	419	294
587	419	294
588	420	293
589	420	292
590	422	292
591	422	291
592	423	290
593	424	290
594	425	289
595	425	288
596	426	287
597	427	287
598	428	286
599	429	286
600	429	285
601	430	284
602	431	283
603	431	283
604	432	282
605	432	281
606	433	280
607	433	279
608	434	278
609	434	277
610	435	277
611	435	276
612	436	275
613	438	275
614	439	275
615	440	274
616	440	273
617	441	272
618	441	272
619	442	271
620	443	270
621	444	270
622	445	269
623	446	268
624	446	268
625	447	267
626	447	266
627	448	265
628	448	264
629	449	263
630	450	263
631	450	262
632	451	261
633	452	261
634	453	260
635	454	260
636	454	259
637	455	258
638	456	258
639	457	257
640	459	257
641	460	256
642	460	255
643	461	254
644	461	254
645	462	253
646	462	252
647	463	251
648	463	250
649	464	250
650	464	249
651	465	248
652	465	247
653	466	246
654	467	246
655	468	245
656	470	245
657	470	244
658	471	243
659	471	243
660	472	242
